"Time","Itanhaém"
"2021-07-01",71
"2021-08-01",76
"2021-09-01",81
"2021-10-01",79
"2021-11-01",74
"2021-12-01",98
"2022-01-01",100
"2022-02-01",78
"2022-03-01",73
"2022-04-01",69
"2022-05-01",60
"2022-06-01",57
"2022-07-01",71
"2022-08-01",64
"2022-09-01",62
"2022-10-01",75
"2022-11-01",68
"2022-12-01",92
"2023-01-01",98
"2023-02-01",78
"2023-03-01",60
"2023-04-01",70
"2023-05-01",47
"2023-06-01",50
"2023-07-01",58
"2023-08-01",61
"2023-09-01",72
"2023-10-01",73
"2023-11-01",74
"2023-12-01",89
"2024-01-01",96
"2024-02-01",59
"2024-03-01",59
"2024-04-01",52
"2024-05-01",51
"2024-06-01",44
"2024-07-01",56
"2024-08-01",56
"2024-09-01",68
"2024-10-01",68
"2024-11-01",63
"2024-12-01",81
"2025-01-01",82
"2025-02-01",57
"2025-03-01",58
"2025-04-01",54
"2025-05-01",48
"2025-06-01",48
"2025-07-01",49
"2025-08-01",57
"2025-09-01",57
"2025-10-01",61
"2025-11-01",65
"2025-12-01",88
"2026-01-01",97
"2026-02-01",72
"2026-03-01",58
"2026-04-01",69
"2026-05-01",57
"2026-06-01",52
"2026-07-01",53
