"Time","Mongaguá"
"2021-07-01",52
"2021-08-01",58
"2021-09-01",64
"2021-10-01",65
"2021-11-01",70
"2021-12-01",92
"2022-01-01",96
"2022-02-01",71
"2022-03-01",67
"2022-04-01",61
"2022-05-01",45
"2022-06-01",50
"2022-07-01",63
"2022-08-01",53
"2022-09-01",57
"2022-10-01",64
"2022-11-01",62
"2022-12-01",87
"2023-01-01",100
"2023-02-01",70
"2023-03-01",51
"2023-04-01",56
"2023-05-01",40
"2023-06-01",43
"2023-07-01",52
"2023-08-01",51
"2023-09-01",67
"2023-10-01",65
"2023-11-01",67
"2023-12-01",90
"2024-01-01",91
"2024-02-01",52
"2024-03-01",52
"2024-04-01",45
"2024-05-01",45
"2024-06-01",40
"2024-07-01",50
"2024-08-01",47
"2024-09-01",55
"2024-10-01",61
"2024-11-01",57
"2024-12-01",75
"2025-01-01",77
"2025-02-01",50
"2025-03-01",47
"2025-04-01",44
"2025-05-01",36
"2025-06-01",39
"2025-07-01",39
"2025-08-01",43
"2025-09-01",52
"2025-10-01",54
"2025-11-01",57
"2025-12-01",78
"2026-01-01",90
"2026-02-01",60
"2026-03-01",47
"2026-04-01",55
"2026-05-01",46
"2026-06-01",43
"2026-07-01",44
