"Time","praia grande"
"2021-07-01",54
"2021-08-01",54
"2021-09-01",57
"2021-10-01",59
"2021-11-01",59
"2021-12-01",68
"2022-01-01",85
"2022-02-01",61
"2022-03-01",59
"2022-04-01",54
"2022-05-01",49
"2022-06-01",49
"2022-07-01",58
"2022-08-01",52
"2022-09-01",52
"2022-10-01",57
"2022-11-01",57
"2022-12-01",73
"2023-01-01",100
"2023-02-01",65
"2023-03-01",50
"2023-04-01",51
"2023-05-01",43
"2023-06-01",46
"2023-07-01",53
"2023-08-01",48
"2023-09-01",62
"2023-10-01",63
"2023-11-01",68
"2023-12-01",73
"2024-01-01",87
"2024-02-01",59
"2024-03-01",49
"2024-04-01",42
"2024-05-01",45
"2024-06-01",44
"2024-07-01",49
"2024-08-01",48
"2024-09-01",55
"2024-10-01",57
"2024-11-01",57
"2024-12-01",67
"2025-01-01",68
"2025-02-01",51
"2025-03-01",46
"2025-04-01",44
"2025-05-01",36
"2025-06-01",44
"2025-07-01",41
"2025-08-01",44
"2025-09-01",51
"2025-10-01",50
"2025-11-01",52
"2025-12-01",66
"2026-01-01",78
"2026-02-01",57
"2026-03-01",47
"2026-04-01",49
"2026-05-01",44
"2026-06-01",44
"2026-07-01",44
