date,Peruíbe,Itanhaém,Mongaguá,isPartial
2016-01-01,11,27,12,False
2016-02-01,8,19,8,False
2016-03-01,6,14,7,False
2016-04-01,6,15,8,False
2016-05-01,4,10,5,False
2016-06-01,4,10,5,False
2016-07-01,4,11,6,False
2016-08-01,4,10,6,False
2016-09-01,5,13,7,False
2016-10-01,6,17,11,False
2016-11-01,6,16,11,False
2016-12-01,7,20,15,False
2017-01-01,10,28,20,False
2017-02-01,7,19,12,False
2017-03-01,6,16,9,False
2017-04-01,6,17,9,False
2017-05-01,4,12,6,False
2017-06-01,5,13,8,False
2017-07-01,6,16,9,False
2017-08-01,6,20,9,False
2017-09-01,8,21,13,False
2017-10-01,10,23,15,False
2017-11-01,10,26,16,False
2017-12-01,16,37,26,False
2018-01-01,19,36,32,False
2018-02-01,12,26,18,False
2018-03-01,10,23,14,False
2018-04-01,10,25,12,False
2018-05-01,9,21,14,False
2018-06-01,9,20,11,False
2018-07-01,12,30,16,False
2018-08-01,11,25,15,False
2018-09-01,16,32,22,False
2018-10-01,18,37,25,False
2018-11-01,23,54,29,False
2018-12-01,32,69,41,False
2019-01-01,32,76,52,False
2019-02-01,23,46,27,False
2019-03-01,20,44,24,False
2019-04-01,17,39,23,False
2019-05-01,16,32,18,False
2019-06-01,14,34,18,False
2019-07-01,19,42,26,False
2019-08-01,18,39,21,False
2019-09-01,22,52,28,False
2019-10-01,23,54,30,False
2019-11-01,25,59,36,False
2019-12-01,34,73,51,False
2020-01-01,37,87,64,False
2020-02-01,29,64,38,False
2020-03-01,17,36,28,False
2020-04-01,14,31,18,False
2020-05-01,16,34,16,False
2020-06-01,18,43,20,False
2020-07-01,22,49,25,False
2020-08-01,23,53,26,False
2020-09-01,29,72,43,False
2020-10-01,35,82,50,False
2020-11-01,33,75,45,False
2020-12-01,33,76,47,False
2021-01-01,40,78,49,False
2021-02-01,29,68,35,False
2021-03-01,21,48,24,False
2021-04-01,20,50,27,False
2021-05-01,21,47,25,False
2021-06-01,21,54,24,False
2021-07-01,25,60,29,False
2021-08-01,25,64,30,False
2021-09-01,28,72,40,False
2021-10-01,29,70,36,False
2021-11-01,28,67,39,False
2021-12-01,36,90,59,False
2022-01-01,43,96,64,False
2022-02-01,33,73,43,False
2022-03-01,31,67,41,False
2022-04-01,29,69,37,False
2022-05-01,22,52,28,False
2022-06-01,24,54,29,False
2022-07-01,23,61,37,False
2022-08-01,24,55,30,False
2022-09-01,24,62,33,False
2022-10-01,29,65,36,False
2022-11-01,30,67,39,False
2022-12-01,37,92,58,False
2023-01-01,43,100,64,False
2023-02-01,32,82,47,False
2023-03-01,23,56,29,False
2023-04-01,25,66,35,False
2023-05-01,18,48,25,False
2023-06-01,20,45,24,False
2023-07-01,24,59,31,False
2023-08-01,23,54,30,False
2023-09-01,27,72,44,False
2023-10-01,27,70,44,False
2023-11-01,29,70,42,False
2023-12-01,39,90,64,False
2024-01-01,44,96,64,False
2024-02-01,27,59,33,False
2024-03-01,23,58,30,False
2024-04-01,21,47,28,False
2024-05-01,21,48,28,False
2024-06-01,23,47,27,False
2024-07-01,23,54,32,False
2024-08-01,22,51,28,False
2024-09-01,26,60,36,False
2024-10-01,27,64,40,False
2024-11-01,27,60,32,False
2024-12-01,37,83,54,False
2025-01-01,45,84,51,False
2025-02-01,26,54,32,False
2025-03-01,24,56,28,False
2025-04-01,23,50,30,False
2025-05-01,19,41,24,False
2025-06-01,19,41,25,False
2025-07-01,22,46,27,False
2025-08-01,22,53,27,False
2025-09-01,24,56,32,False
2025-10-01,26,60,33,False
2025-11-01,29,63,33,False
2025-12-01,41,90,55,False
2026-01-01,47,100,60,False
2026-02-01,33,68,39,False
2026-03-01,24,58,32,False
2026-04-01,27,62,33,False
2026-05-01,23,50,27,False
2026-06-01,22,43,23,False
2026-07-01,25,51,30,True
