date,Santos,São Vicente,isPartial
2016-01-01,36,2,False
2016-02-01,35,1,False
2016-03-01,33,1,False
2016-04-01,38,1,False
2016-05-01,37,1,False
2016-06-01,38,1,False
2016-07-01,41,1,False
2016-08-01,39,1,False
2016-09-01,38,1,False
2016-10-01,41,1,False
2016-11-01,38,1,False
2016-12-01,34,1,False
2017-01-01,36,2,False
2017-02-01,37,1,False
2017-03-01,42,1,False
2017-04-01,37,1,False
2017-05-01,37,1,False
2017-06-01,42,1,False
2017-07-01,47,1,False
2017-08-01,41,1,False
2017-09-01,41,1,False
2017-10-01,47,1,False
2017-11-01,42,1,False
2017-12-01,36,1,False
2018-01-01,43,2,False
2018-02-01,41,1,False
2018-03-01,52,1,False
2018-04-01,38,1,False
2018-05-01,40,1,False
2018-06-01,38,1,False
2018-07-01,45,1,False
2018-08-01,50,1,False
2018-09-01,40,2,False
2018-10-01,37,1,False
2018-11-01,45,1,False
2018-12-01,38,2,False
2019-01-01,48,2,False
2019-02-01,51,2,False
2019-03-01,50,2,False
2019-04-01,56,2,False
2019-05-01,48,2,False
2019-06-01,43,1,False
2019-07-01,42,2,False
2019-08-01,51,2,False
2019-09-01,49,2,False
2019-10-01,55,2,False
2019-11-01,54,2,False
2019-12-01,54,2,False
2020-01-01,44,2,False
2020-02-01,49,2,False
2020-03-01,39,2,False
2020-04-01,23,1,False
2020-05-01,24,1,False
2020-06-01,24,1,False
2020-07-01,33,2,False
2020-08-01,46,2,False
2020-09-01,53,2,False
2020-10-01,53,2,False
2020-11-01,47,2,False
2020-12-01,59,2,False
2021-01-01,85,2,False
2021-02-01,51,2,False
2021-03-01,39,2,False
2021-04-01,45,2,False
2021-05-01,50,2,False
2021-06-01,47,2,False
2021-07-01,49,2,False
2021-08-01,63,2,False
2021-09-01,40,2,False
2021-10-01,52,2,False
2021-11-01,49,2,False
2021-12-01,39,2,False
2022-01-01,45,2,False
2022-02-01,47,2,False
2022-03-01,43,2,False
2022-04-01,44,2,False
2022-05-01,51,2,False
2022-06-01,54,2,False
2022-07-01,54,2,False
2022-08-01,46,2,False
2022-09-01,42,2,False
2022-10-01,44,2,False
2022-11-01,36,2,False
2022-12-01,30,2,False
2023-01-01,42,2,False
2023-02-01,57,2,False
2023-03-01,34,2,False
2023-04-01,44,2,False
2023-05-01,48,1,False
2023-06-01,51,2,False
2023-07-01,48,2,False
2023-08-01,46,2,False
2023-09-01,42,2,False
2023-10-01,55,2,False
2023-11-01,58,2,False
2023-12-01,48,2,False
2024-01-01,44,2,False
2024-02-01,54,2,False
2024-03-01,52,2,False
2024-04-01,48,1,False
2024-05-01,41,1,False
2024-06-01,43,2,False
2024-07-01,45,2,False
2024-08-01,79,2,False
2024-09-01,42,2,False
2024-10-01,43,2,False
2024-11-01,41,2,False
2024-12-01,32,2,False
2025-01-01,45,2,False
2025-02-01,100,2,False
2025-03-01,56,2,False
2025-04-01,52,2,False
2025-05-01,57,1,False
2025-06-01,36,1,False
2025-07-01,59,1,False
2025-08-01,67,2,False
2025-09-01,45,2,False
2025-10-01,52,2,False
2025-11-01,99,2,False
2025-12-01,47,2,False
2026-01-01,60,2,False
2026-02-01,67,2,False
2026-03-01,51,2,False
2026-04-01,77,2,False
2026-05-01,73,2,False
2026-06-01,28,2,False
2026-07-01,39,2,True
