date,Peruíbe,isPartial
2016-01-01,23,False
2016-02-01,17,False
2016-03-01,13,False
2016-04-01,14,False
2016-05-01,8,False
2016-06-01,9,False
2016-07-01,9,False
2016-08-01,8,False
2016-09-01,10,False
2016-10-01,13,False
2016-11-01,12,False
2016-12-01,16,False
2017-01-01,22,False
2017-02-01,15,False
2017-03-01,12,False
2017-04-01,12,False
2017-05-01,9,False
2017-06-01,12,False
2017-07-01,13,False
2017-08-01,13,False
2017-09-01,17,False
2017-10-01,20,False
2017-11-01,22,False
2017-12-01,34,False
2018-01-01,40,False
2018-02-01,25,False
2018-03-01,21,False
2018-04-01,20,False
2018-05-01,20,False
2018-06-01,19,False
2018-07-01,26,False
2018-08-01,23,False
2018-09-01,33,False
2018-10-01,37,False
2018-11-01,49,False
2018-12-01,67,False
2019-01-01,68,False
2019-02-01,48,False
2019-03-01,42,False
2019-04-01,35,False
2019-05-01,33,False
2019-06-01,29,False
2019-07-01,40,False
2019-08-01,38,False
2019-09-01,46,False
2019-10-01,48,False
2019-11-01,52,False
2019-12-01,73,False
2020-01-01,77,False
2020-02-01,61,False
2020-03-01,37,False
2020-04-01,30,False
2020-05-01,33,False
2020-06-01,37,False
2020-07-01,46,False
2020-08-01,49,False
2020-09-01,62,False
2020-10-01,74,False
2020-11-01,70,False
2020-12-01,70,False
2021-01-01,85,False
2021-02-01,61,False
2021-03-01,44,False
2021-04-01,41,False
2021-05-01,44,False
2021-06-01,44,False
2021-07-01,52,False
2021-08-01,53,False
2021-09-01,60,False
2021-10-01,62,False
2021-11-01,60,False
2021-12-01,76,False
2022-01-01,91,False
2022-02-01,69,False
2022-03-01,66,False
2022-04-01,61,False
2022-05-01,47,False
2022-06-01,51,False
2022-07-01,49,False
2022-08-01,50,False
2022-09-01,50,False
2022-10-01,61,False
2022-11-01,64,False
2022-12-01,78,False
2023-01-01,91,False
2023-02-01,67,False
2023-03-01,48,False
2023-04-01,53,False
2023-05-01,38,False
2023-06-01,42,False
2023-07-01,50,False
2023-08-01,49,False
2023-09-01,56,False
2023-10-01,57,False
2023-11-01,60,False
2023-12-01,82,False
2024-01-01,93,False
2024-02-01,56,False
2024-03-01,49,False
2024-04-01,44,False
2024-05-01,45,False
2024-06-01,49,False
2024-07-01,48,False
2024-08-01,46,False
2024-09-01,54,False
2024-10-01,58,False
2024-11-01,57,False
2024-12-01,79,False
2025-01-01,94,False
2025-02-01,54,False
2025-03-01,51,False
2025-04-01,49,False
2025-05-01,39,False
2025-06-01,39,False
2025-07-01,46,False
2025-08-01,47,False
2025-09-01,51,False
2025-10-01,56,False
2025-11-01,60,False
2025-12-01,87,False
2026-01-01,100,False
2026-02-01,69,False
2026-03-01,51,False
2026-04-01,57,False
2026-05-01,48,False
2026-06-01,46,False
2026-07-01,54,True
