mes,valor
2021-07,55
2021-08,56
2021-09,62
2021-10,62
2021-11,66
2021-12,81
2022-01,80
2022-02,63
2022-03,58
2022-04,55
2022-05,42
2022-06,44
2022-07,55
2022-08,49
2022-09,51
2022-10,57
2022-11,64
2022-12,84
2023-01,98
2023-02,73
2023-03,56
2023-04,58
2023-05,45
2023-06,50
2023-07,53
2023-08,53
2023-09,64
2023-10,64
2023-11,69
2023-12,85
2024-01,100
2024-02,57
2024-03,51
2024-04,46
2024-05,46
2024-06,43
2024-07,48
2024-08,48
2024-09,52
2024-10,57
2024-11,56
2024-12,77
2025-01,86
2025-02,52
2025-03,48
2025-04,44
2025-05,35
2025-06,35
2025-07,36
2025-08,38
2025-09,44
2025-10,46
2025-11,49
2025-12,69
2026-01,80
2026-02,56
2026-03,43
2026-04,44
2026-05,34
2026-06,31
2026-07,40
