"Time","Santos"
"2021-07-01",46
"2021-08-01",40
"2021-09-01",28
"2021-10-01",28
"2021-11-01",30
"2021-12-01",69
"2022-01-01",87
"2022-02-01",82
"2022-03-01",78
"2022-04-01",77
"2022-05-01",75
"2022-06-01",70
"2022-07-01",75
"2022-08-01",71
"2022-09-01",71
"2022-10-01",77
"2022-11-01",67
"2022-12-01",78
"2023-01-01",91
"2023-02-01",79
"2023-03-01",76
"2023-04-01",74
"2023-05-01",78
"2023-06-01",79
"2023-07-01",80
"2023-08-01",82
"2023-09-01",83
"2023-10-01",83
"2023-11-01",83
"2023-12-01",89
"2024-01-01",100
"2024-02-01",77
"2024-03-01",70
"2024-04-01",71
"2024-05-01",69
"2024-06-01",61
"2024-07-01",66
"2024-08-01",65
"2024-09-01",64
"2024-10-01",84
"2024-11-01",75
"2024-12-01",78
"2025-01-01",82
"2025-02-01",93
"2025-03-01",66
"2025-04-01",59
"2025-05-01",58
"2025-06-01",57
"2025-07-01",58
"2025-08-01",67
"2025-09-01",69
"2025-10-01",63
"2025-11-01",73
"2025-12-01",70
"2026-01-01",77
"2026-02-01",72
"2026-03-01",63
"2026-04-01",62
"2026-05-01",57
"2026-06-01",56
"2026-07-01",60
